Index:,Date:,Time:,Type:,Type Code:,Owner/operator:,Registration:,MSN:,Year of manufacture:,Engine model:,Total airframe hrs:,Cycles:,Fatalities:,Other fatalities:,Aircraft damage:,Category:,Location:,Phase:,Nature:,Departure airport:,Destination airport:,Investigating agency:,Confidence Rating:
305652,Sunday 1 January 2023,07:00,"    
Boeing 737 MAX 8",B38M,Flair Airlines,C-FLRS,61808/7870,2022,CFMI LEAP 1B27, , ,Fatalities: 0 / Occupants: 154,0,Substantial,Accident,"Kitchener-Region of Waterloo International Airport, ON (YKF/CYKF) -   Canada",Standing,Passenger - Scheduled,"Kitchener-Region of Waterloo International Airport, ON (YKF/CYKF)",Cancún Airport (CUN/MMUN),TSB,Information verified through data from accident investigation authorities
305778,Monday 2 January 2023,23:25 UTC,"    
Bombardier CRJ-900LR",CRJ9,"Endeavor Air, opf Delta Connection",N928XJ,15190,2008, , , ,Fatalities: 0 / Occupants:,0,Minor,Accident,"New York-John F. Kennedy International Airport, NY (JFK/KJFK) -   United States of America",Taxi,Passenger - Scheduled,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)","New York-John F. Kennedy International Airport, NY (JFK/KJFK)",NTSB,"Information is only available from news, social media or unofficial sources"
305779,Monday 2 January 2023,23:25 UTC,"    
Airbus A330-202",A332,ITA Airways,EI-EJM,1308,2012,GE CF6-80E1A4, , ,Fatalities: 0 / Occupants:,0,Minor,Accident,"New York-John F. Kennedy International Airport, NY (JFK/KJFK) -   United States of America",Taxi,Passenger - Scheduled,Roma-Fiumicino Airport (FCO/LIRF),"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",NTSB,"Information is only available from news, social media or unofficial sources"
314139,Monday 2 January 2023,21:40,"    
Boeing 737-8K2 (WL)",B738,Transavia Airlines,PH-HXJ,62159/6363,2017, , , ,Fatalities: 0 / Occupants:,0,Substantial,Accident,Rotterdam/The Hague Airport (RTM/EHRD) -   Netherlands,Standing,Passenger - Scheduled,Roma-Fiumicino Airport (FCO/LIRF),Rotterdam/The Hague Airport (RTM/EHRD),Dutch Safety Board,Accident investigation report completed and information captured
318710,Monday 2 January 2023,11:35,"    
Embraer EMB-505 Phenom 300",E55P,Eagle Jet 300 LLC,N555NR,50500327, ,Pratt & Whitney Canada PW545E, , ,Fatalities: 1 / Occupants: 4,0,"Destroyed, written off",Accident,"Provo Airport, UT (PVU) -   United States of America",Take off,Passenger - Non-Scheduled/charter/Air Taxi,"Provo Airport, UT (PVU/KPVU)","Chino Airport, CA (CNO/KCNO)",NTSB,"Information is only available from news, social media or unofficial sources"
305729,Tuesday 3 January 2023,12:30,"    
Boeing 767-300F",B763,"Amerijet International, lst Maersk Air Cargo",N496MM,67027/1272,2022, , , ,Fatalities: 0 / Occupants: 3,0,Minor,Accident,near Seoul-Incheon International Airport (ICN/RKSI) -   South Korea,Initial climb,Cargo,"Seoul-Incheon International Airport (ICN/RKSI), South Korea","Anchorage-Ted Stevens International Airport, AK (ANC/PANC)", ,Information verified through data from accident investigation authorities
305630,Saturday 7 January 2023,07:18 LT,"    
Airbus A320-232 (WL)",A320,JetStar Japan,JA14JJ,5695,2013,IAE V2527-A5, , ,Fatalities: 0 / Occupants: 142,0,None,Accident,Nagoya/Chubu Centrair International Airport (NGO/RJGG) -   Japan,En route,Passenger - Scheduled,Tokyo-Narita Airport (NRT/RJAA),Fukuoka Airport (FUK/RJFF),JTSB,Information verified through data from accident investigation authorities
307267,Saturday 7 January 2023, ,"    
Boeing 737-846 (WL)",B738,Japan Airlines,JA307J,35336/2450,2007, , , ,Fatalities: 0 / Occupants: 140,0,None,Accident,E of Miyazaki -   Japan,En route,Passenger - Scheduled,Tokyo-Haneda Airport (HND/RJTT),Miyazaki Airport (KMI/RJFM),JTSB,Information verified through data from accident investigation authorities
318709,Monday 9 January 2023,14:30,"    
Antonov An-2R",AN2,Naryan-Mar Air Enterprise,RA-71165,1G200-08,1983,Shvetsov ASh-62IR,12705 hours, ,Fatalities: 2 / Occupants: 12,0,"Destroyed, written off",Accident,10 km SW of Karatayka -   Russia,En route,Passenger - Scheduled,Ust-Kara Airstrip,Karatayka Airport (ULDT),MAK,Information verified through data from accident investigation authorities
318708,Wednesday 11 January 2023, ,"    
Antonov An-2R",AN2,Stavropol City Aviation Sports Club,RA-17789,1G203-50,1983,Shvetsov ASh-62IR, , ,Fatalities: 0 / Occupants: 0,0,"Destroyed, written off",OT,"near Novomaryevskaya, Stavropol Region -   Russia",Standing,-,-,-, ,"Information is only available from news, social media or unofficial sources"
