Aircraft Name,Aircraft Code,Year of First Flight,Manufacturer Country
A2 CZ Ellipse Spirit,ELSP,2011,OK
AAI RQ-7 Shadow,rq7,1991,N
AASI Jetcruzer,JCRU,1989,
Aceair AERIKS 200,ARKS,2002,
Aces High Cuby 2,CUB2,,C
Acro Sport 1,ACRO,1972,N
Acro Sport II,ACR2,1972,N
Advanced Aeromarine Buccaneer,BUCA,1984,N
AEA Maverick,MAVR,1987,
Aermacchi AL-60,LA60,1959,I
Aermacchi AM.3,AM3,1967,I
Aermacchi MB-326,M326,1957,I
Aermacchi MB-339,M339,1976,I
Aero A-101,a101,1934,OK
Aero Adventure Aventura,AVTR,1995,N
Aero AT-3,AAT3,1997,SP
Aero AT-4,AAT4,,SP
Aero Boero AB-115,AB11,1969,LV
Aero Boero AB-150,AB15,,LV
Aero Boero AB-180,AB18,1967,LV
Aero Boero AB-95,AB95,1959,LV
Aero C.3A,c3a,,OK
Aero Commander 100,VO10,1960,N
Aero Commander 1121 Jet Commander,JCOM,,N
Aero Commander 500,AC50,,N
Aero Commander 520,AC52,,N
Aero Commander 560,AC56,,N
Aero Commander 680,AC68,,N
Aero Commander 680FL/685,AC6L,,N
Aero Commander 720,AC72,,N
Aero Commander S-2,SS2P,,N
Aero East Europe Sila 450,S450,,S5
Aero Itba Petrel,PETL,,LV
Aero L-159,L159,1997,OK
Aero L-29 Delfin,L29,1959,OK
Aero L-39 Albatros,L39,1968,OK
Aero L-59,L59,1986,OK
Aero Mirage TC-2,TC2,,N
Aéro Services Guépy,GUEP,,F
Aero Spacelines Mini Guppy Turbine,gupt,1970,N
Aero Spacelines Super Guppy,SGUP,1965,N
Aero-Composites Sea Hawker,AGSH,,N
Aero-Volga LA-8 Flagman,LA8,,RA
Aeroalcool Quasar Lite,QUAS,2009,PP
AeroAndina MXP-1000 Tayrona,MX1T,,HK
Aerokopter AK1-3 Sanka,ZA6,2001,UR
Aeromarine 75,ae75,1920,N
Aeromot AMT-600 Guri,GURI,1999,PP
Aeronca 11 Chief,AR11,1945,N
Aeronca 50 Chief,AR50,1938,N
Aeronca 65,AR65,,N
Aeronca C-3,aec3,,N
Aeronca Champion,CH7A,1944,N
Aeronca L-3,l3,1941,N
Aeronca L-3 Grasshopper,AR6T,1941,N
Aeronca Scout,AERK,,N
Aeronca Sedan,AR15,1947,N
Aeronix Airelle,AIRL,2002,
Aeropilot Legend,LGND,,OK
Aeroprakt A-20,AP20,,UR
Aeroprakt A-22,AP22,1996,UR
Aeroprakt A-24,AP24,,UR
Aeroprakt A-32,AP32,,UR
Aeroprakt A-33,A33,,UR
Aeropro Eurofox,EFOX,1991,OM
Aeros UL-2000 Flamingo,UL2F,,UR
Aerosette MH-46 Eclipse,MH46,,OK
Aérospatiale AS 332 Super Puma,AS3B,1978,F
Aérospatiale AS 332 Super Puma / Cougar,AS32,1986,F
Aérospatiale AS 350 Ecureuil,AS50,1974,F
Aérospatiale AS 355 Écureuil II,AS55,1979,F
Aérospatiale Gazelle,GAZL,1967,F
Aerospatiale SA-315 Lama,LAMA,1969,F
Aerospatiale SA-330 Puma,PUMA,1965,F
Aerospatiale SA-360 Dauphin,S360,1972,F
Aérospatiale SN.601 Corvette,S601,1970,F
Aerospool WT-10 Advantic,WT10,2013,OM
Aerospool WT-9 Dynamic,WT9,,OM
Aerosport Scamp,SCAM,1973,N
Aerosport Woody Pusher,WOPU,,N
Aerostar Festival,FEST,,YR
Aerotec Uirapuru,A122,1965,PP
Aerotechnik L-13S Vivat,L13S,,OK
Agusta A109,A109,1971,I
Agusta A119 Koala,A119,1995,I
Agusta A129 Mangusta,A129,1983,I
AgustaWestland AW139,A139,2001,I
AgustaWestland AW149,A149,2009,
AgustaWestland AW169,A169,2012,I
AgustaWestland AW189,A189,2011,I
AgustaWestland AW609,B609,2003,I
AIDC AT-3,AT3,1980,Bt
AIDC F-CK-1 Ching-kuo,CKUO,1989,Bt
AIDC T-CH-1,CH1,1973,Bt
Air & Space 18,UM18,1964,N
Air Command Commander,CMD1,1984,N
Air Command Commander Elite,CMDE,,N
Air Command Elite Tandem,CMDT,,N
Air Tractor AT-300,AT3P,1973,N
Air Tractor AT-400,AT3T,1979,N
Air Tractor AT-501,AT5P,1986,N
Air Tractor AT-502/503/504,AT5T,,N
Air Tractor AT-602,AT6T,1995,N
Air Tractor AT-802,AT8T,1990,N
Air-Light Wild Thing,WILT,,D
Airborne Edge,abed,,VH
Airborne XT,abxt,,VH
Airbus A220-100,BCS1,2013,C
Airbus A220-300,BCS3,2015,C
Airbus A300B2/B4/C4,A30B,1972,EU
Airbus A300B4-600,A306,1983,EU
Airbus A310,A310,1982,EU
Airbus A318,A318,2002,EU
Airbus A319,A319,1995,EU
Airbus A319neo,A19N,2017,
Airbus A320,A320,1987,EU
Airbus A320neo,A20N,2014,EU
Airbus A321,A321,1993,EU
Airbus A321neo,A21N,2016,EU
Airbus A330-200,A332,1992,EU
Airbus A330-300,A333,1992,EU
Airbus A330-800,A338,,EU
